participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration
,2023-09-25_23h41.17.390,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,
,2023-09-25_23h41.17.390,slotMachine_updated,2023.1.3,MacIntel,60.04202942,125.1715,space,0.9405,,,,,,,,,
,2023-09-25_23h41.17.390,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,126.2033,space,0.3324,,,,,
,2023-09-25_23h41.17.390,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,126.5554,space,0.3261,
