participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration
,2023-09-26_13h42.57.312,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-26_13h42.57.312,slotMachine_updated,2023.1.3,MacIntel,60.0024001,125.2351,space,1.7667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-26_13h42.57.312,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,127.1776,space,1.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-26_13h42.57.312,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,128.3752,space,0.0642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-26_13h42.57.312,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",128.4639,left,1.1959,,1,,stimuli/card_0_transparent.png,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-26_13h42.57.312,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,131.0272,up,2.732,,1,,stimuli/card_100_transparent.png,100,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-26_13h42.57.312,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,135.0748,up,0.7024,,1.5,,stimuli/card_100_transparent.png,200,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-26_13h42.57.312,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,137.614,up,0.5999,,0.5,,stimuli/card_100_transparent.png,300,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-26_13h42.57.312,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,139.0452,up,0.4441,,1.5,,stimuli/card_100_transparent.png,400,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-26_13h42.57.312,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,141.3141,up,0.1183,,1.5,,stimuli/card_100_transparent.png,500,100,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-26_13h42.57.312,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,143.262,up,0.0695,,0.5,,stimuli/card_100_transparent.png,600,100,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-26_13h42.57.312,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,144.1636,up,0.3548,,1.5,,stimuli/card_100_transparent.png,700,100,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-26_13h42.57.312,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,146.3452,up,0.175,,0.5,,stimuli/card_100_transparent.png,800,100,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-26_13h42.57.312,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,147.336,up,0.3749,,1,,stimuli/card_0_transparent.png,800,0,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-26_13h42.57.312,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,149.0367,right,2.0812,,0.5,,stimuli/card_100_transparent.png,900,100,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-26_13h42.57.312,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,151.9358,right,1.0414,,1.5,,stimuli/card_100_transparent.png,1000,100,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-26_13h42.57.312,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,154.8029,right,0.5575,,1.5,,stimuli/card_100_transparent.png,1100,100,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,
