key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_pid,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration
0.0005,space,0.9933,,test,B,2024-08-19_11h25.17.575,Slot Machine Game,2023.1.3,MacIntel,58.13953488,,,,,,,,,,,,
,,,,test,B,2024-08-19_11h25.17.575,Slot Machine Game,2023.1.3,MacIntel,58.13953488,1.0166,space,0.4236,,,,,,,,,
,,,,test,B,2024-08-19_11h25.17.575,Slot Machine Game,2023.1.3,MacIntel,58.13953488,,,,,1.4661,space,0.1396,,,,,
,,,,test,B,2024-08-19_11h25.17.575,Slot Machine Game,2023.1.3,MacIntel,58.13953488,,,,,,,,,1.6319,space,0.146,
