participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran
,2023-09-26_10h59.05.145,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-26_10h59.05.145,slotMachine_updated,2023.1.3,MacIntel,60.04202942,124.9455,space,33.7736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-26_10h59.05.145,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,158.875,space,0.5431,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-26_10h59.05.145,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,159.4418,space,0.3545,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-26_10h59.05.145,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",159.8113,up,2.4287,,1,,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,
,2023-09-26_10h59.05.145,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,163.5996,up,1.0674,,0.5,,stimuli/card_100_transparent.png,200,100,1,0,1,0,1,,,,,,,
,2023-09-26_10h59.05.145,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,165.4983,up,0.6694,,1,,stimuli/card_100_transparent.png,300,100,2,0,2,0,1,,,,,,,
,2023-09-26_10h59.05.145,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,167.4955,up,0.4573,,0.5,,stimuli/card_10_transparent.png,310,10,3,0,3,0,1,,,,,,,
,2023-09-26_10h59.05.145,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,168.7781,up,0.6716,,1.5,,stimuli/card_100_transparent.png,410,100,4,0,4,0,1,,,,,,,
,2023-09-26_10h59.05.145,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,171.2769,up,0.3034,,0.5,,stimuli/card_100_transparent.png,510,100,5,0,5,0,1,,,,,,,
,2023-09-26_10h59.05.145,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,172.41,up,0.4351,,1,,stimuli/card_100_transparent.png,610,100,6,0,6,0,1,,,,,,,
,2023-09-26_10h59.05.145,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,174.1704,up,0.3782,,0.5,,stimuli/card_100_transparent.png,710,100,7,0,7,0,1,,,,,,,
