participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran
,2023-10-05_13h53.51.501,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_13h53.51.501,slotMachine_updated,2023.1.3,MacIntel,60.04202942,124.9539,space,128.6386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_13h53.51.501,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,253.6201,space,1.9107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_13h53.51.501,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,255.5515,space,0.8261,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_13h53.51.501,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",256.4073,up,1.3166,,1,,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,
,2023-10-05_13h53.51.501,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,259.0655,right,1.1157,,0.5,,stimuli/card_0_transparent.png,100,0,1,0,1,0,1,,,,,,,
,2023-10-05_13h53.51.501,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,260.9987,left,0.8871,,1,,stimuli/card_10_transparent.png,110,10,2,0,2,0,1,,,,,,,
,2023-10-05_13h53.51.501,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,263.1959,up,0.7494,,0.5,,stimuli/card_100_transparent.png,210,100,3,0,3,0,1,,,,,,,
,2023-10-05_13h53.51.501,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,264.7606,up,0.9816,,1,,stimuli/card_0_transparent.png,210,0,4,0,4,0,1,,,,,,,
,2023-10-05_13h53.51.501,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,267.059,right,0.6308,,1.5,,stimuli/card_10_transparent.png,220,10,5,0,5,0,1,,,,,,,
,2023-10-05_13h53.51.501,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,269.5082,left,0.5496,,0.5,,stimuli/card_10_transparent.png,230,10,6,0,6,0,1,,,,,,,
,2023-10-05_13h53.51.501,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,270.8736,up,0.7319,,1.5,,stimuli/card_100_transparent.png,330,100,7,0,7,0,1,,,,,,,
,2023-10-05_13h53.51.501,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,273.4235,up,0.4159,,1,,stimuli/card_100_transparent.png,430,100,8,0,8,0,1,,,,,,,
,2023-10-05_13h53.51.501,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,275.1538,up,0.6359,,1.5,,stimuli/card_0_transparent.png,430,0,9,0,9,0,1,,,,,,,
,2023-10-05_13h53.51.501,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,277.6048,up,0.6113,,0.5,,stimuli/card_0_transparent.png,430,0,10,0,10,0,1,,,,,,,
,2023-10-05_13h53.51.501,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,279.0238,up,0.5667,,1.5,,stimuli/card_0_transparent.png,430,0,11,0,11,0,1,,,,,,,
,2023-10-05_13h53.51.501,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,281.4047,up,0.3544,,1.5,,stimuli/card_0_transparent.png,430,0,12,0,12,0,1,,,,,,,
,2023-10-05_13h53.51.501,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,283.5698,up,0.0496,,1,,stimuli/card_0_transparent.png,430,0,13,0,13,0,1,,,,,,,
,2023-10-05_13h53.51.501,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,284.9348,up,0.3214,,0.5,,stimuli/card_0_transparent.png,430,0,14,0,14,0,1,,,,,,,
,2023-10-05_13h53.51.501,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.0659,0,0,0,0,1
,2023-10-05_13h53.51.501,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",,,,,,,,,,,,,,,,,,,,,
,2023-10-05_13h53.51.501,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,291.0802,,,,1.5,,,,,0,0,0,0,1,,,,,,,
,2023-10-05_13h53.51.501,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,296.6278,,,,1.5,,,,,1,0,1,0,1,,,,,,,
