key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2"
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,252.4241,left,0.6516,,1,,stimuli/card_0_transparent.png,110,0,2,0,2,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,254.3879,up,2.9832,,0.5,,stimuli/card_0_transparent.png,110,0,3,0,3,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,258.1842,left,0.9013,,0.5,,stimuli/card_100_transparent.png,210,100,4,0,4,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,259.8994,left,0.9721,,1.5,,stimuli/card_100_transparent.png,310,100,5,0,5,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,262.6883,left,0.5015,,0.5,,stimuli/card_0_transparent.png,310,0,6,0,6,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,264.0029,left,0.7916,,1,,stimuli/card_0_transparent.png,310,0,7,0,7,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,266.1009,left,0.3021,,1.5,,stimuli/card_100_transparent.png,410,100,8,0,8,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,268.2163,left,0.4622,,0.5,,stimuli/card_0_transparent.png,410,0,9,0,9,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,269.4976,left,0.8323,,0.5,,stimuli/card_0_transparent.png,410,0,10,0,10,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,271.1479,left,0.3049,,0.5,,stimuli/card_0_transparent.png,410,0,11,0,11,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,272.2631,left,0.4188,,0.5,,stimuli/card_10_transparent.png,420,10,12,0,12,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,273.4965,left,0.3422,,0.5,,stimuli/card_0_transparent.png,420,0,13,0,13,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,274.6617,left,0.4403,,1.5,,stimuli/card_0_transparent.png,420,0,14,0,14,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.9088,1,0,1,0,1,,
