key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,study_id,path_id,date,expName,psychopyVersion,OS,frameRate,subject_id,session_id,prolific_id,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration
0.0006,space,4.1976,,1C,B,2024-01-02_10h49.22.933,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_10h49.22.933,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,4.3385,space,0.7311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_10h49.22.933,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,5.0875,space,0.6406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_10h49.22.933,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,5.7546,space,0.4132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_10h49.22.933,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_10h49.22.933,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,147.9038,space,1.0428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_10h49.22.933,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",148.9736,0,1.61,,right,0.5,,stimuli/card_0_transparent.png,0,0,0,0,0,0,1,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_10h49.22.933,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,151.4158,1,0.4173,,left,1,,stimuli/card_10_transparent.png,10,10,1,0,1,0,1,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_10h49.22.933,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,153.1475,2,0.1582,,up,1.5,,stimuli/card_0_transparent.png,10,0,2,0,2,0,1,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_10h49.22.933,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,155.1253,3,0.0174,,up,0.5,,stimuli/card_100_transparent.png,110,100,3,0,3,0,1,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_10h49.22.933,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,155.954,4,0.3033,,up,0.5,,stimuli/card_100_transparent.png,210,100,4,0,4,0,1,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_10h49.22.933,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,157.0647,5,0.0846,,up,1.5,,stimuli/card_100_transparent.png,310,100,5,0,5,0,1,,,,,,,,,,,,,,
