key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.rt,key_resp_practice_slots.duration,key_resp_practice_slots.keys,presentationInterval,"practice_reward_seq: 2,1,3",practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",reward_Img,Cuml_rew,currentPracticeTrialReward,text_block_break.started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,blockNumber,blockAssignment,currentCondition,main_reward_seqs,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,Main_presentationInterval,rewardPresentationTime,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cumul_Reward,Main_currentTrialReward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.6755,,,382.6741,space,15.2431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.9297,2,"[2,4,8,0,1,3,9,6,8,5]",397.9297,space,64.181,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,"[15,15]","[[3,1,2],[3,1,2]]",462.1374,,1.5,0.3,0,0,0,0,1,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.6491,,0.5,0.3,1,0,1,0,1,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.1605,,0.5,0.3,2,0,2,0,1,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478.6657,,0.5,0.3,3,0,3,0,1,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.1694,up,1.5,0.3,4,0,4,0,1,0.2301,,"[3,1,2]",0.851720234,stimuli/card_100_transparent.png,100,100,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486.2024,right,1.5,0.3,5,0,5,0,1,0.3404,,"[3,1,2]",0.553778839,stimuli/card_10_transparent.png,110,10,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.3534,left,1,0.3,6,0,6,0,1,0.214,,"[3,1,2]",0.707116885,stimuli/card_0_transparent.png,110,0,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.8868,up,1.5,0.3,7,0,7,0,1,0.0811,,"[3,1,2]",0.977415885,stimuli/card_100_transparent.png,210,100,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491.7836,up,0.5,0.3,8,0,8,0,1,0.0697,,"[3,1,2]",0.597770973,stimuli/card_100_transparent.png,310,100,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.6691,up,1,0.3,9,0,9,0,1,0.4991,,"[3,1,2]",0.686766947,stimuli/card_100_transparent.png,410,100,,,,,
