key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration
,,,,,A,2024-05-08_11h37.57.862,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",196.2414,0,0.0005,,up,0.5,,stimuli/card_0_transparent.png,0,0,0,0,0,0,1,,191.2375,,,,,,,,,,,,
,,,,,A,2024-05-08_11h37.57.862,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,197.5576,1,0.0459,,right,0.5,,stimuli/card_10_transparent.png,10,10,1,0,1,0,1,,,,,,,,,,,,,,
,,,,,A,2024-05-08_11h37.57.862,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,198.9079,2,0.1706,,left,0.5,,stimuli/card_100_transparent.png,110,100,2,0,2,0,1,,,,,,,,,,,,,,
,,,,,A,2024-05-08_11h37.57.862,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,200.3919,3,0.133,,left,1.5,,stimuli/card_100_transparent.png,210,100,3,0,3,0,1,,,,,,,,,,,,,,
,,,,,A,2024-05-08_11h37.57.862,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,202.8442,4,0.1405,,left,1,,stimuli/card_100_transparent.png,310,100,4,0,4,0,1,,,,,,,,,,,,,,
,,,,,A,2024-05-08_11h37.57.862,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,204.7957,5,0.1454,,left,1,,stimuli/card_100_transparent.png,410,100,5,0,5,0,1,,,,,,,,,,,,,,
,,,,,A,2024-05-08_11h37.57.862,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,206.7626,6,0.0417,,left,0.5,,stimuli/card_0_transparent.png,410,0,6,0,6,0,1,,,,,,,,,,,,,,
,,,,,A,2024-05-08_11h37.57.862,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,208.1135,7,0.2887,,left,1,,stimuli/card_0_transparent.png,410,0,7,0,7,0,1,,,,,,,,,,,,,,
,,,,,A,2024-05-08_11h37.57.862,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,210.2141,8,0.0727,,up,1,,stimuli/card_100_transparent.png,510,100,8,0,8,0,1,,,,,,,,,,,,,,
,,,,,A,2024-05-08_11h37.57.862,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,212.0988,9,0.1138,,up,0.5,,stimuli/card_100_transparent.png,610,100,9,0,9,0,1,,,,,,,,,,,,,,
,,,,,A,2024-05-08_11h37.57.862,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,213.5329,10,0.119,,up,1.5,,stimuli/card_100_transparent.png,710,100,10,0,10,0,1,,,,,,,,,,,,,,
,,,,,A,2024-05-08_11h37.57.862,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,215.9672,11,0.0854,,up,0.5,,stimuli/card_100_transparent.png,810,100,11,0,11,0,1,,,,,,,,,,,,,,
,,,,,A,2024-05-08_11h37.57.862,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,217.3689,12,0.1186,,up,1.5,,stimuli/card_100_transparent.png,910,100,12,0,12,0,1,,,,,,,,,,,,,,
,,,,,A,2024-05-08_11h37.57.862,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,219.8037,13,0.0824,,up,0.5,,stimuli/card_100_transparent.png,1010,100,13,0,13,0,1,,,,,,,,,,,,,,
,,,,,A,2024-05-08_11h37.57.862,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,221.2207,14,0.0525,,up,0.5,,stimuli/card_100_transparent.png,1110,100,14,0,14,0,1,,,,,,,,,,,,,,
,,,,,A,2024-05-08_11h37.57.862,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.5881,,,227.5912,space,1.8997,,,,,,,
,,,,,A,2024-05-08_11h37.57.862,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.4979,1,"[0,1,2,3,4,5,6,7,8,9]",space,2.2596,
