key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,currentCondition,main_reward_seqs,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,Main_presentationInterval,rewardPresentationTime,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cumul_Reward,Main_currentTrialReward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,177.4551,right,0.0058,,1.5,,stimuli/card_0_transparent.png,900,0,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,179.2715,left,0.3314,,0.5,,stimuli/card_0_transparent.png,900,0,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,180.4206,right,0.1862,,1,,stimuli/card_100_transparent.png,1000,100,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,181.9167,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,186.9266,2,4.0302,,1.5,,stimuli/card_0_transparent.png,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,192.7691,,,,1.5,,,,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,198.2925,,,,1.5,,,,,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,203.82,,,,1.5,,,,,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,209.3588,,,,1,,,,,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,214.8851,,,,0.5,,,,,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,220.422,,,,1.5,,,,,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,225.9429,,,,1.5,,,,,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,231.4716,,,,0.5,,,,,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,236.9929,,,,1.5,,,,,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,242.5231,,,,1.5,,,,,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,248.0589,,,,1,,,,,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,253.5843,,,,1.5,,,,,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
