key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_presentationInterval,reward_presentation_time,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,main_trial_rt,main_trial_duration,main_reward_seq,reward_rand_val,main_reward_img,current_reward,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,block_reward.length,block_reward_all,reward_amount,date_end_task
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,207.0835,8,0.0191,,up,0.5,,stimuli/card_100_transparent.png,720,100,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,208.4177,9,0.3041,,up,1.5,,stimuli/card_0_transparent.png,720,0,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,211.0844,10,0.0979,,up,0.5,,stimuli/card_0_transparent.png,720,0,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,212.5511,11,0.0787,,right,1.5,,stimuli/card_100_transparent.png,820,100,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,214.9833,12,0.0003,,right,1,,stimuli/card_100_transparent.png,920,100,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,216.8177,13,0.286,,right,0.5,,stimuli/card_100_transparent.png,1020,100,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,218.45,14,0.2709,,right,1.5,,stimuli/card_100_transparent.png,1120,100,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",226.0622,0,0.4986,,left,1.5,,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,221.0621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,228.9176,1,2.6331,,left,1.5,,stimuli/card_100_transparent.png,200,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,233.9173,2,2.0006,,left,1,,stimuli/card_100_transparent.png,300,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
