key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_pid,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,prac_presentationInterval,practice_reward_seq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,practice_resp_rt,practice_keypress_time,practice_resp_keys,reward_img,cumulative_reward,trial_reward,block_break_started,practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_keypress_time,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,block_reward.length,block_reward_all,reward_amount,date_end_task
,,,,5f73f37ed13ce303cc14ae35,B,2024-08-23_22h47.05.038,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,245.4777,14,0.5,"[3,1,2]",14,0,14,0,1,1.4221,246.9117,2,stimuli/card_100_transparent.png,820,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5f73f37ed13ce303cc14ae35,B,2024-08-23_22h47.05.038,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.7122,252.7149,space,2.600700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5f73f37ed13ce303cc14ae35,B,2024-08-23_22h47.05.038,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.3327,3,"[0,4,6,3,5,7,8,1,9,2]",space,7.6363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5f73f37ed13ce303cc14ae35,B,2024-08-23_22h47.05.038,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,1,1,"[12,15]","[[2,1,3],[2,3,1]]",262.995,0,1,0.993599999,264.0035,0.5,0.3,"[2,1,3]",0.683700838,stimuli/card_10_transparent.png,10,0,0,0,0,1,,,,,,,,,,
,,,,5f73f37ed13ce303cc14ae35,B,2024-08-23_22h47.05.038,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,1,1,,,264.8041,1,2,1.9348,266.7713,1,0.3,"[2,1,3]",0.373056352,stimuli/card_100_transparent.png,100,1,0,1,0,1,,,,,,,,,,
,,,,5f73f37ed13ce303cc14ae35,B,2024-08-23_22h47.05.038,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,1,1,,,268.072,2,2,1.188400001,269.2726,1.5,0.3,"[2,1,3]",0.461503638,stimuli/card_100_transparent.png,100,2,0,2,0,1,,,,,,,,,,
,,,,5f73f37ed13ce303cc14ae35,B,2024-08-23_22h47.05.038,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,,,,,,,,,,,,,1,1,,,271.0737,3,2,0.5029,271.6071,0.5,0.3,"[2,1,3]",0.939828138,stimuli/card_100_transparent.png,100,3,0,3,0,1,,,,,,,,,,
,,,,5f73f37ed13ce303cc14ae35,B,2024-08-23_22h47.05.038,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,,,,,,,,,,,,,1,1,,,272.4073,4,2,0.6126,273.0413,0.5,0.3,"[2,1,3]",0.802028074,stimuli/card_100_transparent.png,100,4,0,4,0,1,,,,,,,,,,
,,,,5f73f37ed13ce303cc14ae35,B,2024-08-23_22h47.05.038,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,,,,,,,,,,,,,1,1,,,273.8415,5,2,0.939099999,274.7921,0.5,0.3,"[2,1,3]",0.583553481,stimuli/card_100_transparent.png,100,5,0,5,0,1,,,,,,,,,,
,,,,5f73f37ed13ce303cc14ae35,B,2024-08-23_22h47.05.038,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610,,,,,,,,,,,,,1,1,,,275.5925,6,2,0.6035,276.226,0.5,0.3,"[2,1,3]",0.405140835,stimuli/card_100_transparent.png,100,6,0,6,0,1,,,,,,,,,,
,,,,5f73f37ed13ce303cc14ae35,B,2024-08-23_22h47.05.038,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710,,,,,,,,,,,,,1,1,,,277.0264,7,2,0.676,277.7101,1,0.3,"[2,1,3]",0.284746494,stimuli/card_100_transparent.png,100,7,0,7,0,1,,,,,,,,,,
,,,,5f73f37ed13ce303cc14ae35,B,2024-08-23_22h47.05.038,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,,,,,,,,,,,,,1,1,,,279.0106,8,2,0.545,279.5777,1.5,0.3,"[2,1,3]",0.923127684,stimuli/card_100_transparent.png,100,8,0,8,0,1,,,,,,,,,,
,,,,5f73f37ed13ce303cc14ae35,B,2024-08-23_22h47.05.038,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,,,,,,,,,,,,,1,1,,,281.3786,9,2,0.5688,281.962,1.5,0.3,"[2,1,3]",0.182921773,stimuli/card_10_transparent.png,10,9,0,9,0,1,,,,,,,,,,
,,,,5f73f37ed13ce303cc14ae35,B,2024-08-23_22h47.05.038,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,,,,,,,,,,,,,1,1,,,283.7633,10,3,0.673,284.4633,1.5,0.3,"[2,1,3]",0.857928786,stimuli/card_0_transparent.png,0,10,0,10,0,1,,,,,,,,,,
,,,,5f73f37ed13ce303cc14ae35,B,2024-08-23_22h47.05.038,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920,,,,,,,,,,,,,1,1,,,286.2643,11,1,1.7053,287.9817,0.5,0.3,"[2,1,3]",0.163251848,stimuli/card_100_transparent.png,100,11,0,11,0,1,,,,,,,,,,
,,,,5f73f37ed13ce303cc14ae35,B,2024-08-23_22h47.05.038,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920,,,,,,,,,,,,,1,1,,,288.7823,12,2,0.9745,289.7661,0.5,0.3,"[2,3,1]",0.398508487,stimuli/card_0_transparent.png,0,12,0,12,0,1,,,,,,,,,,
,,,,5f73f37ed13ce303cc14ae35,B,2024-08-23_22h47.05.038,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930,,,,,,,,,,,,,1,1,,,290.5664,13,1,0.5626,291.1333,0.5,0.3,"[2,3,1]",0.32055667,stimuli/card_10_transparent.png,10,13,0,13,0,1,,,,,,,,,,
,,,,5f73f37ed13ce303cc14ae35,B,2024-08-23_22h47.05.038,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030,,,,,,,,,,,,,1,1,,,291.9337,14,2,0.5396,292.4838,1.5,0.3,"[2,3,1]",0.076139033,stimuli/card_100_transparent.png,100,14,0,14,0,1,,,,,,,,,,
