participant,date,expName,psychopyVersion,OS,frameRate,key_resp_practice_instruction.started,key_resp_practice_instruction.keys,key_resp_practice_instruction.rt,key_resp_practice_instruction.duration,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_practice_reset.keys,key_resp_practice_reset.rt,key_resp_practice_reset.duration,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,reward_seq,reward_Img,Cuml_rew,currentTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,conditions,currentCondition,conditionsAfterRemoval,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_presentationInterval,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cuml_rew,Main_currentTrialReward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,text_block_break.started,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,2023-08-31_14h31.01.300,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_14h31.01.300,slotMachine_updated,2023.1.3,MacIntel,60.0024001,125.5278,space,317.5257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_14h31.01.300,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,443.1711,space,0.5678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_14h31.01.300,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,space,0.4035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_14h31.01.300,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,444.19,up,1.8946,,0.5,"[2,1,3]",stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_14h31.01.300,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,446.9709,up,0.5769,,1.5,"[2,1,3]",stimuli/card_100_transparent.png,200,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_14h31.01.300,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,449.3695,up,0.0079,,1,"[2,1,3]",stimuli/card_10_transparent.png,210,10,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_14h31.01.300,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,450.7039,up,0.0007,,1.5,"[2,1,3]",stimuli/card_100_transparent.png,310,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_14h31.01.300,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,452.5203,up,3.1527,,1.5,"[2,1,3]",stimuli/card_100_transparent.png,410,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_14h31.01.300,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,457.4932,up,1.1853,0.0003,0.5,"[2,1,3]",stimuli/card_0_transparent.png,410,0,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
