participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,currentCondition,main_reward_seqs,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_presentationInterval,rewardPresentationTime,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cumul_Reward,Main_currentTrialReward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,195.2186,right,0.3658,,1.5,,stimuli/card_100_transparent.png,740,100,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,197.4012,right,0.1442,,1.5,,stimuli/card_100_transparent.png,840,100,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.3654,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,204.3768,up,0.6175,,1,,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,206.3074,left,0.177,,1,,stimuli/card_10_transparent.png,20,10,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,207.8072,right,0.407,,1,,stimuli/card_100_transparent.png,120,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,209.5406,right,0.3851,,1.5,,stimuli/card_10_transparent.png,130,10,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,211.7405,right,0.6293,,1.5,,stimuli/card_10_transparent.png,140,10,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,214.1874,left,0.1489,,1,,stimuli/card_100_transparent.png,240,100,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,215.6564,left,0.4505,,1,,stimuli/card_0_transparent.png,240,0,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,217.4211,left,0.2781,,1.5,,stimuli/card_0_transparent.png,240,0,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,219.5143,up,0.5695,,1.5,,stimuli/card_100_transparent.png,340,100,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,221.8965,up,0.4005,,1,,stimuli/card_100_transparent.png,440,100,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,223.6135,up,0.3137,,1,,stimuli/card_10_transparent.png,450,10,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,225.2444,up,0.4171,,0.5,,stimuli/card_10_transparent.png,460,10,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,226.4783,right,0.082,,1,,stimuli/card_10_transparent.png,470,10,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,227.8757,,,,1,,,,,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,233.4025,,,,1,,,,,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.9375,space,1.7257,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.6803,2,"[2,4,8,0,1,3,9,6,8,5]",240.6803,space,9.6428,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[15,15]","[[3,1,2],[3,1,2]]",250.3544,up,0.7994,,1.5,0.3,"[3,1,2]",0.711569125,stimuli/card_100_transparent.png,100,100,0,0,0,0,1
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.9691,,,,0.5,0.3,,,,,,1,0,1,0,1
