participant,date,expName,psychopyVersion,OS,frameRate,key_resp_practice_instruction.started,key_resp_practice_instruction.keys,key_resp_practice_instruction.rt,key_resp_practice_instruction.duration,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_practice_reset.keys,key_resp_practice_reset.rt,key_resp_practice_reset.duration,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,reward_seq,reward_Img,Cuml_rew,currentTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran
,2023-08-29_13h38.41.966,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-29_13h38.41.966,slotMachine_updated,2023.1.3,MacIntel,60.0024001,124.9386,lcommand,7802.5805,,,,,,,,,,,,,,,,,,,,,,
,2023-08-29_13h38.41.966,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,7927.5354,space,8.1092,,,,,,,,,,,,,,,,,,
,2023-08-29_13h38.41.966,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,space,0.6302,,,,,,,,,,,,,,,
,2023-08-29_13h38.41.966,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,7936.3305,up,1.9998,,0.5,"[2,1,3]",stimuli/card_100_transparent.png,100,100,0,0,0,0,1
,2023-08-29_13h38.41.966,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,7939.2153,up,1.1141,,1,"[2,1,3]",stimuli/card_10_transparent.png,110,10,1,0,1,0,1
,2023-08-29_13h38.41.966,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,7941.6468,left,0.2151,,1.5,"[2,1,3]",stimuli/card_10_transparent.png,120,10,2,0,2,0,1
