participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran
,2023-09-26_10h15.52.059,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-26_10h15.52.059,slotMachine_updated,2023.1.3,MacIntel,60.04202942,125.1887,space,7.7811,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-26_10h15.52.059,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,133.0903,space,0.5062,,,,,,,,,,,,,,,,,,,,,
,2023-09-26_10h15.52.059,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,133.6162,space,0.3716,,,,,,,,,,,,,,,,,
,2023-09-26_10h15.52.059,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,"9,15","[[2,1,3],[2,3,1]]",134.0262,left,2.0251,,1,,stimuli/card_10_transparent.png,10,10,0,0,0,0,1
,2023-09-26_10h15.52.059,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,137.437,right,2.7351,,1,,stimuli/card_100_transparent.png,110,100,1,0,1,0,1
,2023-09-26_10h15.52.059,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,141.5014,right,0.521,,0.5,,stimuli/card_0_transparent.png,110,0,2,0,2,0,1
,2023-09-26_10h15.52.059,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,142.8502,right,1.1583,,1.5,,stimuli/card_0_transparent.png,110,0,3,0,3,0,1
,2023-09-26_10h15.52.059,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,145.8261,right,0.1111,,1.5,,stimuli/card_0_transparent.png,110,0,4,0,4,0,1
,2023-09-26_10h15.52.059,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,147.7576,right,0.901,,0.5,,stimuli/card_100_transparent.png,210,100,5,0,5,0,1
,2023-09-26_10h15.52.059,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,149.4736,right,0.1091,,0.5,,stimuli/card_0_transparent.png,210,0,6,0,6,0,1
,2023-09-26_10h15.52.059,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,150.4052,right,0.1055,,0.5,,stimuli/card_0_transparent.png,210,0,7,0,7,0,1
,2023-09-26_10h15.52.059,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,151.3198,right,0.278,,1.5,,stimuli/card_0_transparent.png,210,0,8,0,8,0,1
