key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,blockNumber,blockAssignment,currentCondition,main_reward_seqs,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,Main_presentationInterval,rewardPresentationTime,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cumul_Reward,Main_currentTrialReward
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072.7487,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",1077.7486,,,,0.5,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,1083.2671,,,,1.5,,,,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,1088.7741,right,0.8182,,1.5,,stimuli/card_10_transparent.png,10,10,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,1091.4034,,,,1,,,,,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,1096.9188,,,,1,,,,,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,1102.4314,,,,1,,,,,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,1107.9362,,,,1.5,,,,,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,1113.45,,,,1,,,,,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,1118.9598,left,0.9172,,0.5,,stimuli/card_0_transparent.png,10,0,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,1120.6908,,,,0.5,,,,,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,1126.2014,,,,0.5,,,,,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,1131.7135,,,,0.5,,,,,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,1137.222,,,,1.5,,,,,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,1142.7366,,,,1,,,,,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,1148.2502,,,,1.5,,,,,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1153.759,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1158.7526,space,2.3486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1161.1155,3,"[0,4,6,3,5,7,8,1,9,2]",1161.1155,space,0.9836,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,"[12,15]","[[2,1,3],[2,3,1]]",1162.1217,,1,0.3,0,0,0,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1167.6324,,1.5,0.3,1,0,1,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1173.1381,,1.5,0.3,2,0,2,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1178.6473,,1,0.3,3,0,3,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1184.1644,,0.5,0.3,4,0,4,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1189.6793,,1.5,0.3,5,0,5,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195.1897,,1.5,0.3,6,0,6,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.7049,,1.5,0.3,7,0,7,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1206.2139,,1,0.3,8,0,8,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1211.7246,,1.5,0.3,9,0,9,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1217.2377,,1,0.3,10,0,10,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1222.753,,0.5,0.3,11,0,11,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1228.2676,,1.5,0.3,12,0,12,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1233.7762,,1.5,0.3,13,0,13,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1239.2891,,0.5,0.3,14,0,14,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1244.8006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,"[5,15]","[[1,2,3],[3,1,2]]",1249.7986,,0.5,0.3,0,0,0,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255.3091,,1.5,0.3,1,0,1,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260.821,,1,0.3,2,0,2,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1266.3254,,1.5,0.3,3,0,3,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1271.8368,,1,0.3,4,0,4,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1277.3502,,1,0.3,5,0,5,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1282.8596,,1.5,0.3,6,0,6,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1288.37,,1.5,0.3,7,0,7,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1293.8801,,1,0.3,8,0,8,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1299.3924,,1,0.3,9,0,9,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1304.9024,,1.5,0.3,10,0,10,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1310.4166,right,0.5,0.3,11,0,11,0,1,,,,,,3.4966,,"[3,1,2]",0.82468805,stimuli/card_10_transparent.png,10,10
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1314.7266,,0.5,0.3,12,0,12,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320.2435,up,0.5,0.3,13,0,13,0,1,,,,,,0.3815,,"[3,1,2]",0.461208502,stimuli/card_100_transparent.png,110,100
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1321.4413,,1,0.3,14,0,14,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1326.9542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,"[9,15]","[[1,3,2],[2,3,1]]",1331.9474,,1,0.3,0,0,0,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1337.4581,,1.5,0.3,1,0,1,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1342.9673,,1,0.3,2,0,2,0,1,,,,,,,,,,,,
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1348.4722,right,1.5,0.3,3,0,3,0,1,,,,,,2.4656,,"[1,3,2]",0.429306744,stimuli/card_10_transparent.png,10,10
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1352.751,left,0.5,0.3,4,0,4,0,1,,,,,,3.2431,,"[1,3,2]",0.931399167,stimuli/card_100_transparent.png,110,100
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1356.8116,left,1.5,0.3,5,0,5,0,1,,,,,,4.7309,,"[1,3,2]",0.035338425,stimuli/card_0_transparent.png,110,0
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1363.3709,up,1.5,0.3,6,0,6,0,1,,,,,,1.3697,,"[1,3,2]",0.197677603,stimuli/card_10_transparent.png,120,10
,,,,,2023-10-10_15h01.08.856,SlotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1366.5522,right,1.5,0.3,7,0,7,0,1,,,,,,3.8636,,"[1,3,2]",0.893593598,stimuli/card_10_transparent.png,130,10
