participant,date,expName,psychopyVersion,OS,frameRate,key_resp_practice_instruction.started,key_resp_practice_instruction.keys,key_resp_practice_instruction.rt,key_resp_practice_instruction.duration,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_practice_reset.keys,key_resp_practice_reset.rt,key_resp_practice_reset.duration,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,reward_seq,reward_Img,Cuml_rew,currentTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,conditions,currentCondition,conditionsAfterRemoval,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_presentationInterval,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cuml_rew,Main_currentTrialReward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,text_block_break.started,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,2023-08-31_13h39.20.823,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_13h39.20.823,slotMachine_updated,2023.1.3,MacIntel,60.0024001,683.3607,space,2.7456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_13h39.20.823,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,686.1747,space,0.8329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_13h39.20.823,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,space,0.9148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_13h39.20.823,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,687.964,up,1.1691,,1.5,"[2,1,3]",stimuli/card_0_transparent.png,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_13h39.20.823,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,691.0129,up,0.3735,,0.5,"[2,1,3]",stimuli/card_100_transparent.png,100,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_13h39.20.823,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,692.2089,up,0.0786,,0.5,"[2,1,3]",stimuli/card_100_transparent.png,200,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_13h39.20.823,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,693.0976,up,0.1234,,1,"[2,1,3]",stimuli/card_100_transparent.png,300,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_13h39.20.823,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,694.5465,up,0.1106,,1.5,"[2,1,3]",stimuli/card_10_transparent.png,310,10,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_13h39.20.823,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,696.4795,up,0.1167,,1,"[2,1,3]",stimuli/card_100_transparent.png,410,100,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
