participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2"
,2023-09-26_11h34.02.226,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,161.9457,up,2.3609,,1,,stimuli/card_100_transparent.png,100,100,1,0,1,0,1,,,,,,,,,
,2023-09-26_11h34.02.226,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,165.6288,up,0.6188,,0.5,,stimuli/card_100_transparent.png,200,100,2,0,2,0,1,,,,,,,,,
,2023-09-26_11h34.02.226,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,167.0628,up,0.3913,,1,,stimuli/card_0_transparent.png,200,0,3,0,3,0,1,,,,,,,,,
,2023-09-26_11h34.02.226,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,168.7855,up,0.0183,,1,,stimuli/card_0_transparent.png,200,0,4,0,4,0,1,,,,,,,,,
,2023-09-26_11h34.02.226,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,170.1187,up,0.0716,,1.5,,stimuli/card_0_transparent.png,200,0,5,0,5,0,1,,,,,,,,,
,2023-09-26_11h34.02.226,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,172.0023,left,0.5688,,0.5,,stimuli/card_0_transparent.png,200,0,6,0,6,0,1,,,,,,,,,
,2023-09-26_11h34.02.226,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,173.3864,left,0.4803,,0.5,,stimuli/card_0_transparent.png,200,0,7,0,7,0,1,,,,,,,,,
,2023-09-26_11h34.02.226,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,174.6843,up,0.6974,,1.5,,stimuli/card_100_transparent.png,300,100,8,0,8,0,1,,,,,,,,,
,2023-09-26_11h34.02.226,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,177.2013,up,0.3088,,1,,stimuli/card_100_transparent.png,400,100,9,0,9,0,1,,,,,,,,,
,2023-09-26_11h34.02.226,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,178.8227,up,0.2111,,1,,stimuli/card_0_transparent.png,400,0,10,0,10,0,1,,,,,,,,,
,2023-09-26_11h34.02.226,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,180.3579,up,0.7292,,1,,stimuli/card_0_transparent.png,400,0,11,0,11,0,1,,,,,,,,,
,2023-09-26_11h34.02.226,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,182.4079,up,0.4749,,0.5,,stimuli/card_100_transparent.png,500,100,12,0,12,0,1,,,,,,,,,
,2023-09-26_11h34.02.226,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,183.6898,up,0.2055,,1,,stimuli/card_100_transparent.png,600,100,13,0,13,0,1,,,,,,,,,
,2023-09-26_11h34.02.226,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,185.2071,up,0.0744,,1,,stimuli/card_100_transparent.png,700,100,14,0,14,0,1,,,,,,,,,
,2023-09-26_11h34.02.226,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.6071,1,0,1,0,1,,
