key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration
0.0004,space,2.0692,,,2023-10-31_11h04.02.366,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,
,,,,,2023-10-31_11h04.02.366,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,2.0845,space,8.7261,,,,,
,,,,,2023-10-31_11h04.02.366,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,10.8216,space,3.614,
