key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,currentCondition,main_reward_seqs,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_presentationInterval,rewardPresentationTime,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cumul_Reward,Main_currentTrialReward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,225.3657,up,0.3234,,1,,stimuli/card_0_transparent.png,650,0,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,227.0066,up,0.4413,,1.5,,stimuli/card_0_transparent.png,650,0,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,229.2598,right,0.2591,,0.5,,stimuli/card_100_transparent.png,750,100,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,230.3364,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,235.3548,up,1.0515,,1.5,,stimuli/card_0_transparent.png,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,238.2277,right,0.3595,,1.5,,stimuli/card_0_transparent.png,0,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,240.4105,left,0.2416,,0.5,,stimuli/card_100_transparent.png,100,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,241.4683,left,0.3753,,1,,stimuli/card_100_transparent.png,200,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,243.1686,left,0.1414,,1,,stimuli/card_100_transparent.png,300,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,244.629,left,0.1356,,1.5,,stimuli/card_10_transparent.png,310,10,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,246.5908,left,0.4593,,1,,stimuli/card_0_transparent.png,310,0,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,248.3596,left,0.7823,,0.5,,stimuli/card_10_transparent.png,320,10,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,249.9627,left,0.7559,,1.5,,stimuli/card_0_transparent.png,320,0,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,252.5425,up,0.2992,,1.5,,stimuli/card_100_transparent.png,420,100,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,254.6611,up,0.4619,,1,,stimuli/card_100_transparent.png,520,100,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,256.4439,up,0.3403,,1,,stimuli/card_10_transparent.png,530,10,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,258.0916,left,1.4375,,1.5,,stimuli/card_0_transparent.png,530,0,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,261.3525,up,0.5593,,0.5,,stimuli/card_100_transparent.png,630,100,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,262.7331,up,0.368,,1.5,,stimuli/card_100_transparent.png,730,100,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.9147,space,4.2926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.2261,1,"[0,1,2,3,4,5,6,7,8,9]",269.2261,space,3.9635,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[12,15]","[[2,1,3],[2,3,1]]",273.2247,right,0.9955,,1,0.3,"[2,1,3]",0.688832153,stimuli/card_0_transparent.png,0,0,0,0,0,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.5485,up,0.5014,,1.5,0.3,"[2,1,3]",0.628646583,stimuli/card_100_transparent.png,100,100,1,0,1,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.8601,up,0.3035,,1.5,0.3,"[2,1,3]",0.929319341,stimuli/card_100_transparent.png,200,100,2,0,2,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.9787,up,0.2949,,1,0.3,"[2,1,3]",0.441155061,stimuli/card_100_transparent.png,300,100,3,0,3,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.6001,up,0.3356,,0.5,0.3,"[2,1,3]",0.333068018,stimuli/card_100_transparent.png,400,100,4,0,4,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.7577,up,0.3758,,1,0.3,"[2,1,3]",0.141201755,stimuli/card_10_transparent.png,410,10,5,0,5,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.4584,up,0.2957,,1.5,0.3,"[2,1,3]",0.706032335,stimuli/card_100_transparent.png,510,100,6,0,6,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.5777,up,0.3228,,1.5,0.3,"[2,1,3]",0.280312907,stimuli/card_100_transparent.png,610,100,7,0,7,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.7092,up,0.2987,,1,0.3,"[2,1,3]",0.352360305,stimuli/card_100_transparent.png,710,100,8,0,8,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.3345,up,0.4066,,1,0.3,"[2,1,3]",0.626279875,stimuli/card_100_transparent.png,810,100,9,0,9,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.0693,up,0.3458,,0.5,0.3,"[2,1,3]",0.294300317,stimuli/card_100_transparent.png,910,100,10,0,10,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.2291,up,0.3221,,1,0.3,"[2,1,3]",0.011317505,stimuli/card_0_transparent.png,910,0,11,0,11,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.8728,up,0.5009,,0.5,0.3,"[2,3,1]",0.259819556,stimuli/card_0_transparent.png,910,0,12,0,12,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.1922,up,0.3622,,0.5,0.3,"[2,3,1]",0.321077364,stimuli/card_0_transparent.png,910,0,13,0,13,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.3714,left,0.1316,,1.5,0.3,"[2,3,1]",0.863916545,stimuli/card_10_transparent.png,920,10,14,0,14,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,299.3238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,2,1]]",304.3379,left,0.4933,,1.5,0.3,"[1,3,2]",0.227991977,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.6623,left,0.3326,,1,0.3,"[1,3,2]",0.249705364,stimuli/card_100_transparent.png,200,100,1,0,1,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.3121,left,0.2388,,1,0.3,"[1,3,2]",0.739566088,stimuli/card_100_transparent.png,300,100,2,0,2,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.8737,left,0.378,,0.5,0.3,"[1,3,2]",0.040204995,stimuli/card_0_transparent.png,300,0,3,0,3,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.0761,up,0.5833,,1,0.3,"[1,3,2]",0.309624179,stimuli/card_0_transparent.png,300,0,4,0,4,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.9747,right,0.3457,,1.5,0.3,"[1,3,2]",0.336900791,stimuli/card_10_transparent.png,310,10,5,0,5,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.1332,left,0.2888,,0.5,0.3,"[3,2,1]",0.73161014,stimuli/card_0_transparent.png,310,0,6,0,6,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.2358,left,0.4008,,1.5,0.3,"[3,2,1]",0.251569192,stimuli/card_0_transparent.png,310,0,7,0,7,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.4464,left,0.6217,,0.5,0.3,"[3,2,1]",0.057956968,stimuli/card_100_transparent.png,410,100,8,0,8,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.8843,left,0.4247,,1.5,0.3,"[3,2,1]",0.85754539,stimuli/card_0_transparent.png,410,0,9,0,9,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.1276,left,0.5219,,0.5,0.3,"[3,2,1]",0.047109197,stimuli/card_100_transparent.png,510,100,10,0,10,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.4665,left,0.4024,,1,0.3,"[3,2,1]",0.343716532,stimuli/card_0_transparent.png,510,0,11,0,11,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.1857,left,0.4029,,1.5,0.3,"[3,2,1]",0.959800158,stimuli/card_0_transparent.png,510,0,12,0,12,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.4097,left,0.6062,,0.5,0.3,"[3,2,1]",0.590736925,stimuli/card_0_transparent.png,510,0,13,0,13,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.8382,right,1.0808,,0.5,0.3,"[3,2,1]",0.951278471,stimuli/card_100_transparent.png,610,100,14,0,14,0,1,,,,,
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,330.7373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1
,,,,,2023-10-04_11h44.08.821,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[15,15]","[[3,1,2],[3,1,2]]",335.7424,up,0.4972,,1.5,0.3,"[3,1,2]",0.724578563,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,
