key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,currentCondition,main_reward_seqs,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_presentationInterval,rewardPresentationTime,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cumul_Reward,Main_currentTrialReward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
0.0004,space,9.8658,,,2023-10-04_12h11.58.334,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_12h11.58.334,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_12h11.58.334,slotMachine_updated,2023.1.3,MacIntel,60.06006006,134.8219,space,3.4971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_12h11.58.334,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,138.3358,space,2.9839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_12h11.58.334,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",141.3491,left,1.3911,,1,,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_12h11.58.334,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,144.0791,up,0.7949,,1.5,,stimuli/card_0_transparent.png,10,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_12h11.58.334,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,146.688,right,0.5829,,1.5,,stimuli/card_0_transparent.png,10,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_12h11.58.334,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,149.0852,up,0.3275,,0.5,,stimuli/card_0_transparent.png,10,0,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_12h11.58.334,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,150.2345,up,0.6324,,0.5,,stimuli/card_100_transparent.png,110,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_12h11.58.334,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,151.6823,up,0.4417,,1,,stimuli/card_100_transparent.png,210,100,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_12h11.58.334,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,153.4475,up,0.478,,0.5,,stimuli/card_100_transparent.png,310,100,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_12h11.58.334,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,154.7458,up,0.1606,,1.5,,stimuli/card_100_transparent.png,410,100,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_12h11.58.334,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,156.7201,up,0.6647,,1.5,,stimuli/card_100_transparent.png,510,100,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_12h11.58.334,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,159.2048,up,0.1297,,1,,stimuli/card_0_transparent.png,510,0,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_12h11.58.334,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,160.6512,up,0.2951,,0.5,,stimuli/card_0_transparent.png,510,0,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_12h11.58.334,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,161.7672,up,0.5497,,1.5,,stimuli/card_0_transparent.png,510,0,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_12h11.58.334,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,164.1307,up,0.4453,,1.5,,stimuli/card_0_transparent.png,510,0,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_12h11.58.334,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,166.3876,up,0.15,,1.5,,stimuli/card_0_transparent.png,510,0,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_12h11.58.334,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,168.3529,up,0.2,,1,,stimuli/card_10_transparent.png,520,10,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-04_12h11.58.334,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,169.8672,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
