key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration
0.001,space,5.115,,,2023-09-26_09h44.33.487,slotMachine_updated,2023.1.3,MacIntel,30.3030303,,,,,,,,
,,,,,2023-09-26_09h44.33.487,slotMachine_updated,2023.1.3,MacIntel,30.3030303,5.142,space,0.922,,,,,
,,,,,2023-09-26_09h44.33.487,slotMachine_updated,2023.1.3,MacIntel,30.3030303,,,,,6.108,space,1.827,
