participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,191.3781,left,1.1948,,1,,stimuli/card_100_transparent.png,300,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,193.8941,left,0.4252,,1,,stimuli/card_100_transparent.png,400,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,195.6435,left,0.5701,,1.5,,stimuli/card_100_transparent.png,500,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,198.0445,left,0.1726,,1.5,,stimuli/card_100_transparent.png,600,100,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,200.0417,left,0.0063,,0.5,,stimuli/card_0_transparent.png,600,0,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,200.8762,up,1.0748,,0.5,,stimuli/card_10_transparent.png,610,10,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,202.7714,up,0.5126,,1,,stimuli/card_100_transparent.png,710,100,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,204.6048,up,0.4307,,1.5,,stimuli/card_100_transparent.png,810,100,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,206.8759,up,0.2167,,1.5,,stimuli/card_100_transparent.png,910,100,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,208.9196,up,0.6342,,0.5,,stimuli/card_10_transparent.png,920,10,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,
