participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,currentCondition,main_reward_seqs,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_presentationInterval,rewardPresentationTime,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cumul_Reward,Main_currentTrialReward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,176.968,up,0.4089,,1.5,,stimuli/card_0_transparent.png,700,0,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,179.1869,left,0.2377,,0.5,,stimuli/card_0_transparent.png,700,0,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,180.2379,left,0.5598,,0.5,,stimuli/card_100_transparent.png,800,100,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,181.6071,left,0.5307,,1,,stimuli/card_10_transparent.png,810,10,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.4593,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,188.4657,right,0.9464,,1,,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,190.7319,right,0.4675,,0.5,,stimuli/card_10_transparent.png,20,10,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,192.0334,right,0.4262,,1.5,,stimuli/card_10_transparent.png,30,10,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,194.2869,right,0.5256,,0.5,,stimuli/card_10_transparent.png,40,10,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,195.6369,up,1.1202,,1.5,,stimuli/card_100_transparent.png,140,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,198.5898,up,0.5661,0.0001,0.5,,stimuli/card_0_transparent.png,140,0,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,199.9744,up,0.5177,,0.5,,stimuli/card_100_transparent.png,240,100,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,201.3257,up,0.4714,,0.5,,stimuli/card_100_transparent.png,340,100,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,202.6155,up,0.4243,,0.5,,stimuli/card_100_transparent.png,440,100,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,203.8613,up,0.4338,,1,,stimuli/card_100_transparent.png,540,100,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,205.6303,up,0.3577,,1.5,,stimuli/card_100_transparent.png,640,100,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,207.8205,up,0.5003,,0.5,,stimuli/card_100_transparent.png,740,100,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,209.1515,up,0.6855,,1,,stimuli/card_100_transparent.png,840,100,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,211.1688,up,1.328,,1,,stimuli/card_100_transparent.png,940,100,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,213.8216,up,0.5005,,0.5,,stimuli/card_10_transparent.png,950,10,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.1394,space,9.2321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.3988,1,"[0,1,2,3,4,5,6,7,8,9]",224.3988,space,1.2258,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[12,15]","[[2,1,3],[2,3,1]]",225.6573,left,1.3848,,0.5,0.3,"[2,1,3]",0.490742623,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.8525,left,0.7883,,0.5,0.3,"[2,1,3]",0.660750007,stimuli/card_10_transparent.png,20,10,1,0,1,0,1,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.4705,up,1.6268,,0.5,0.3,"[2,1,3]",0.545761602,stimuli/card_100_transparent.png,120,100,2,0,2,0,1,,,,,
