key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_pid,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,prac_presentationInterval,"practice_reward_seq: 2,1,3",practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,practice_resp_rt,practice_resp_duration,practice_resp_keys,reward_img,cumulative_reward,trial_reward,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_keypress_time,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,706.0195,9,1,,9,0,9,0,1,0.0667,,up,stimuli/card_0_transparent.png,210,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,707.903,10,1.5,,10,0,10,0,1,0.0923,,up,stimuli/card_0_transparent.png,210,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,710.3182,11,1,,11,0,11,0,1,0.083,,up,stimuli/card_10_transparent.png,220,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,712.235,12,1,,12,0,12,0,1,0.012,,up,stimuli/card_0_transparent.png,220,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,714.0678,13,1,,13,0,13,0,1,0.1763,,left,stimuli/card_10_transparent.png,230,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,716.0677,14,1,,14,0,14,0,1,0.9989,,left,stimuli/card_10_transparent.png,240,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",723.9005,0,0.5,,0,0,0,0,1,4.4749,,right,stimuli/card_100_transparent.png,100,100,,718.9006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,729.6981,1,1.5,,1,0,1,0,1,0.4253,,left,stimuli/card_100_transparent.png,200,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,732.4478,2,1,,2,0,2,0,1,0.3701,,up,stimuli/card_0_transparent.png,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,734.6452,3,1,,3,0,3,0,1,0.6087,,up,stimuli/card_0_transparent.png,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
