key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,currentCondition,main_reward_seqs,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_presentationInterval,rewardPresentationTime,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cumul_Reward,Main_currentTrialReward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.0633,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,204.0766,right,0.8019,,0.5,,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,205.6913,up,0.4281,,0.5,,stimuli/card_0_transparent.png,10,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,206.9412,left,0.1284,,1.5,,stimuli/card_100_transparent.png,110,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,208.8912,up,0.1898,,0.5,,stimuli/card_0_transparent.png,110,0,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,209.9097,right,0.2348,,0.5,,stimuli/card_10_transparent.png,120,10,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,210.9576,right,0.1985,,1,,stimuli/card_10_transparent.png,130,10,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,212.4724,up,0.1105,,0.5,,stimuli/card_100_transparent.png,230,100,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,213.4079,left,0.1782,,1,,stimuli/card_0_transparent.png,230,0,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,214.9043,up,0.2993,,1,,stimuli/card_100_transparent.png,330,100,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,216.5195,right,0.4777,,0.5,,stimuli/card_10_transparent.png,340,10,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,217.8181,right,0.1471,,1,,stimuli/card_10_transparent.png,350,10,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,219.2944,up,0.0147,,1.5,,stimuli/card_100_transparent.png,450,100,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,221.1231,left,0.5653,,1.5,,stimuli/card_0_transparent.png,450,0,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,223.5043,up,0.004,,0.5,,stimuli/card_100_transparent.png,550,100,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,224.3221,up,0.398,,0.5,,stimuli/card_100_transparent.png,650,100,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.5385,space,12.4728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.0357,2,"[2,4,8,0,1,3,9,6,8,5]",238.0357,space,8.0793,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[15,15]","[[3,1,2],[3,1,2]]",246.1548,up,1.0727,,0.5,0.3,"[3,1,2]",0.466255513,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.0517,right,0.5766,,1.5,0.3,"[3,1,2]",0.536115136,stimuli/card_10_transparent.png,110,10,1,0,1,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.4671,left,0.1212,,1,0.3,"[3,1,2]",0.620599808,stimuli/card_0_transparent.png,110,0,2,0,2,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.9184,up,0.4874,,0.5,0.3,"[3,1,2]",0.341962284,stimuli/card_100_transparent.png,210,100,3,0,3,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.2163,up,0.2262,,1,0.3,"[3,1,2]",0.301103435,stimuli/card_100_transparent.png,310,100,4,0,4,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.7656,up,0.1426,,1.5,0.3,"[3,1,2]",0.833206933,stimuli/card_100_transparent.png,410,100,5,0,5,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.7335,up,0.1246,,1.5,0.3,"[3,1,2]",0.897672388,stimuli/card_100_transparent.png,510,100,6,0,6,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.6793,up,0.1324,,0.5,0.3,"[3,1,2]",0.812097804,stimuli/card_100_transparent.png,610,100,7,0,7,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.6263,up,0.2345,,1.5,0.3,"[3,1,2]",0.404611122,stimuli/card_100_transparent.png,710,100,8,0,8,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.674,up,0.3031,,1,0.3,"[3,1,2]",0.730558947,stimuli/card_100_transparent.png,810,100,9,0,9,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.2915,up,0.2158,,0.5,0.3,"[3,1,2]",0.342140637,stimuli/card_100_transparent.png,910,100,10,0,10,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.324,up,0.2943,,1.5,0.3,"[3,1,2]",0.037742484,stimuli/card_0_transparent.png,910,0,11,0,11,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.4379,right,0.3652,,1.5,0.3,"[3,1,2]",0.642909051,stimuli/card_10_transparent.png,920,10,12,0,12,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.6179,left,0.2342,,0.5,0.3,"[3,1,2]",0.578189902,stimuli/card_0_transparent.png,920,0,13,0,13,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.6637,right,0.3369,,1,0.3,"[3,1,2]",0.79882393,stimuli/card_10_transparent.png,930,10,14,0,14,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.3156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5,15]","[[1,2,3],[3,1,2]]",276.3304,up,0.5329,,0.5,0.3,"[1,2,3]",0.95961454,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.676,right,0.3535,,0.5,0.3,"[1,2,3]",0.642735515,stimuli/card_0_transparent.png,10,0,1,0,1,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.8439,left,0.4204,,1.5,0.3,"[1,2,3]",0.693070384,stimuli/card_100_transparent.png,110,100,2,0,2,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.0752,left,0.3821,,1.5,0.3,"[1,2,3]",0.478153002,stimuli/card_100_transparent.png,210,100,3,0,3,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.2731,left,0.4508,,1,0.3,"[1,2,3]",0.598904547,stimuli/card_100_transparent.png,310,100,4,0,4,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.0375,left,0.2115,,1,0.3,"[3,1,2]",0.861898166,stimuli/card_0_transparent.png,310,0,5,0,5,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.5677,left,0.1541,,0.5,0.3,"[3,1,2]",0.061971973,stimuli/card_100_transparent.png,410,100,6,0,6,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.5377,left,3.2728,,1.5,0.3,"[3,1,2]",0.204882805,stimuli/card_0_transparent.png,410,0,7,0,7,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.6283,right,0.3675,,0.5,0.3,"[3,1,2]",0.763056839,stimuli/card_10_transparent.png,420,10,8,0,8,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.8111,left,1.4309,,0.5,0.3,"[3,1,2]",0.999577301,stimuli/card_0_transparent.png,420,0,9,0,9,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.0581,up,0.6034,,1.5,0.3,"[3,1,2]",0.689229549,stimuli/card_100_transparent.png,520,100,10,0,10,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.4744,up,0.28,,1.5,0.3,"[3,1,2]",0.519779555,stimuli/card_100_transparent.png,620,100,11,0,11,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.5742,up,0.0654,,0.5,0.3,"[3,1,2]",0.395627254,stimuli/card_100_transparent.png,720,100,12,0,12,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.4586,up,0.3487,,0.5,0.3,"[3,1,2]",0.52651701,stimuli/card_100_transparent.png,820,100,13,0,13,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.624,up,0.4341,,0.5,0.3,"[3,1,2]",0.818885623,stimuli/card_100_transparent.png,920,100,14,0,14,0,1,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.8736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[8,15]","[[3,2,1],[3,1,2]]",308.8835,right,0.5757,,1.5,0.3,"[3,2,1]",0.184119381,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,
