key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,study_id,path_id,date,expName,psychopyVersion,OS,frameRate,subject_id,session_id,prolific_id,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_duration,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,308.1111,9,0.095,,up,1,,stimuli/card_10_transparent.png,620,10,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,309.5264,10,0.0847,,up,1.5,,stimuli/card_100_transparent.png,720,100,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,311.418,11,0.0008,,up,1,,stimuli/card_0_transparent.png,720,0,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,312.7336,12,0.1368,,right,1,,stimuli/card_10_transparent.png,730,10,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,314.1819,13,0.0009,,right,1,,stimuli/card_100_transparent.png,830,100,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,315.4945,14,0.076,,up,0.5,,stimuli/card_0_transparent.png,830,0,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",321.3698,0,0.8852,,up,1.5,,stimuli/card_0_transparent.png,0,0,0,0,0,0,1,,316.3787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,324.0664,1,0.1797,,up,1.5,,stimuli/card_100_transparent.png,100,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,326.0629,2,0.0599,,up,0.5,,stimuli/card_0_transparent.png,100,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,326.9266,3,0.1904,,up,0.5,,stimuli/card_0_transparent.png,100,0,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,327.9261,4,0.276,,up,0.5,,stimuli/card_100_transparent.png,200,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,329.0088,5,0.1094,,up,1.5,,stimuli/card_10_transparent.png,210,10,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,330.9172,6,0.0385,,up,1.5,,stimuli/card_100_transparent.png,310,100,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,332.7661,7,0.0252,,up,0.5,,stimuli/card_100_transparent.png,410,100,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,333.5988,8,0.1556,,up,1.5,,stimuli/card_10_transparent.png,420,10,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,335.5637,9,0.1118,,left,1.5,,stimuli/card_0_transparent.png,420,0,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,337.4945,10,0.2591,,right,1.5,,stimuli/card_10_transparent.png,430,10,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
