participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran
,2023-09-26_10h44.12.946,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-26_10h44.12.946,slotMachine_updated,2023.1.3,MacIntel,60.04202942,124.945,space,1.4005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-26_10h44.12.946,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,126.4268,space,0.3609,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-26_10h44.12.946,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,126.8107,space,0.4701,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-26_10h44.12.946,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,"9,15","[[2,1,3],[2,3,1]]",127.2974,up,1.0032,,1,,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,
,2023-09-26_10h44.12.946,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,129.67,right,0.7126,,1,,stimuli/card_0_transparent.png,100,0,1,0,1,0,1,,,,,,,
,2023-09-26_10h44.12.946,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,131.7019,right,0.5048,,1,,stimuli/card_0_transparent.png,100,0,2,0,2,0,1,,,,,,,
,2023-09-26_10h44.12.946,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,133.5178,right,0.0005,,1.5,,stimuli/card_0_transparent.png,100,0,3,0,3,0,1,,,,,,,
,2023-09-26_10h44.12.946,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,135.3336,,,,1.5,,,,,4,0,4,0,1,,,,,,,
,2023-09-26_10h44.12.946,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,140.8463,,,,0.5,,,,,5,0,5,0,1,,,,,,,
,2023-09-26_10h44.12.946,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,146.3558,left,0.169,,1.5,,stimuli/card_10_transparent.png,110,10,6,0,6,0,1,,,,,,,
,2023-09-26_10h44.12.946,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,148.3287,left,2.0487,,1.5,,stimuli/card_10_transparent.png,120,10,7,0,7,0,1,,,,,,,
,2023-09-26_10h44.12.946,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,152.1928,left,0.3889,,0.5,,stimuli/card_10_transparent.png,130,10,8,0,8,0,1,,,,,,,
,2023-09-26_10h44.12.946,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,153.4089,left,0.5064,,1.5,,stimuli/card_10_transparent.png,140,10,9,0,9,0,1,,,,,,,
,2023-09-26_10h44.12.946,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,155.7403,,,,1.5,,,,,10,0,10,0,1,,,,,,,
