participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,mainConditions,currentCondition,main_reward_seqs,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_presentationInterval,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cumul_Reward,Main_currentTrialReward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran
,2023-09-27_18h08.20.204,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,151.2144,left,0.2884,,0.5,,stimuli/card_10_transparent.png,110,10,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h08.20.204,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,152.331,left,0.3093,,0.5,,stimuli/card_10_transparent.png,120,10,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h08.20.204,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.4628,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h08.20.204,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h08.20.204,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,158.4644,left,0.6011,,1,,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h08.20.204,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,160.3937,right,0.2288,,0.5,,stimuli/card_10_transparent.png,20,10,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h08.20.204,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,161.4418,right,0.2247,,0.5,,stimuli/card_10_transparent.png,30,10,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h08.20.204,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,162.4892,right,0.2943,,1,,stimuli/card_10_transparent.png,40,10,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h08.20.204,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,164.1058,right,0.1432,,1.5,,stimuli/card_10_transparent.png,50,10,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h08.20.204,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,166.0704,right,0.0615,,1,,stimuli/card_10_transparent.png,60,10,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h08.20.204,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,167.4519,right,0.3187,,1.5,,stimuli/card_10_transparent.png,70,10,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h08.20.204,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,169.5845,right,1.6797,,0.5,,stimuli/card_0_transparent.png,70,0,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h08.20.204,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,172.0824,right,0.2718,,0.5,,stimuli/card_100_transparent.png,170,100,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h08.20.204,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,173.1653,right,0.0737,,1,,stimuli/card_10_transparent.png,180,10,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h08.20.204,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,174.5631,right,0.0039,,0.5,,stimuli/card_100_transparent.png,280,100,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h08.20.204,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,175.3793,right,0.1265,,1,,stimuli/card_10_transparent.png,290,10,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h08.20.204,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,176.8282,right,1.1494,,0.5,,stimuli/card_10_transparent.png,300,10,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h08.20.204,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,178.7954,right,0.1291,,0.5,,stimuli/card_10_transparent.png,310,10,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h08.20.204,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,179.7608,right,0.0539,,0.5,,stimuli/card_10_transparent.png,320,10,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h08.20.204,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.6269,space,1.8715,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h08.20.204,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.5096,1,"[0,1,2,3,4,5,6,7,8,9]",182.5096,space,7.1436,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h08.20.204,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""12,15"",""6,15"",""15,15"",""7,15"",""5,15"",""4,10,15"",""9,15"",""11,15"",""8,15"",""10,15""]","12,15","[[2,1,3],[2,3,1]]",189.6742,left,3.464,,0.5,"[2,1,3]",0.477776261,stimuli/card_10_transparent.png,10,10,0,0,0,0,1
