participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2"
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,138.9726,n,1.1372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,140.1492,space,0.8966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,141.0666,space,0.9258,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",142.018,up,1.3458,,0.5,,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,144.1995,up,0.5126,,1.5,,stimuli/card_100_transparent.png,200,100,1,0,1,0,1,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,146.5432,up,0.0381,,1,,stimuli/card_100_transparent.png,300,100,2,0,2,0,1,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,147.8899,up,0.0354,,1,,stimuli/card_0_transparent.png,300,0,3,0,3,0,1,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,149.2397,up,0.4689,,1,,stimuli/card_100_transparent.png,400,100,4,0,4,0,1,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,151.0212,up,0.6955,,1,,stimuli/card_0_transparent.png,400,0,5,0,5,0,1,,,,,,,,,
